USR_Age,Physical_Act,Sleep_Dur,Stress_LVL,BMI,Work_Load,Social_Freq,Travel_Idx,Total_Active_Min,Session_Freq,Post_Rate,Short_Vid_Cons,Story_Cons,Msg_Outgoing,Follower_Base,Following_Base,Account_Age_Yrs,USR_Gender_Male,USR_Gender_Non-binary,USR_Gender_Prefer not to say,Loc_Type_Suburban,Loc_Type_Urban,Inc_Bracket_Low,Inc_Bracket_Lower-middle,Inc_Bracket_Middle,Inc_Bracket_Upper-middle,Edu_Level_High school,Edu_Level_Master’s,Edu_Level_Other,Edu_Level_PhD,Edu_Level_Some college,Premium_Member,Wellbeing_Score
25.0,10.0,6.4,23,29.2,44.4,4,0,155.0,6,4,203,100,19,1249,693,2023,True,False,False,True,False,True,False,False,False,False,False,False,False,False,Free,8.0
23.0,8.5,7.4,20,24.9,53.1,5,2,227.0,13,11,254,131,29,494,651,2022,False,True,False,False,True,False,False,True,False,False,False,False,False,False,Premium,5.0
25.0,3.6,7.0,1,26.8,44.7,5,3,5.0,1,4,127,36,11,3469,6245,2021,False,False,False,False,True,False,False,True,False,False,False,False,False,False,Business,7.0
65.0,2.1,7.6,11,29.6,49.1,5,4,152.0,15,3,144,84,26,4314,3572,2012,True,False,False,False,True,False,False,True,False,True,False,False,False,False,Premium,
46.0,7.2,6.0,33,30.1,43.1,3,1,370.0,14,7,245,150,57,1358,792,2023,True,False,False,False,False,True,False,False,False,False,False,True,False,False,Free,2.0
34.0,12.5,7.7,16,24.9,34.2,5,3,144.0,6,4,110,85,28,291,158,2014,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Free,4.0
25.0,4.5,6.7,40,23.9,49.3,6,3,296.0,10,7,300,150,32,1326,1699,2023,False,False,False,False,True,False,False,True,False,False,False,True,False,False,Free,6.0
19.0,10.3,7.8,8,20.7,55.9,9,1,78.0,2,6,172,61,15,3386,5285,2023,False,False,False,True,False,False,False,False,False,True,False,False,False,False,Premium,7.0
36.0,9.0,5.9,21,25.6,48.1,2,3,336.0,26,12,250,150,39,3765,6332,2020,True,False,False,False,False,False,False,True,False,False,False,False,False,True,Free,1.0
19.0,13.8,6.6,40,24.1,27.9,3,3,316.0,16,6,275,150,43,866,357,2012,False,False,False,True,False,False,True,False,False,False,False,False,False,True,Free,10.0
57.0,4.6,6.8,36,23.0,28.7,7,3,277.0,11,5,223,150,34,3266,1448,2019,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Free,10.0
14.0,7.4,6.1,4,25.1,41.5,5,5,91.0,3,5,165,79,22,920,1832,2021,True,False,False,True,False,False,True,False,False,False,False,True,False,False,Free,7.0
63.0,7.9,7.7,2,21.4,49.2,2,2,87.0,4,2,90,68,22,4668,8683,2014,False,False,False,False,True,False,True,False,False,True,False,False,False,False,Free,1.0
62.0,7.4,6.3,24,21.8,49.5,3,2,116.0,8,5,119,75,17,141,189,2010,False,False,False,True,False,False,False,True,False,False,False,False,False,True,Free,
18.0,2.8,6.6,26,22.0,40.6,7,2,257.0,12,13,268,136,42,142,293,2010,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Free,
,9.6,7.6,36,25.0,36.0,8,5,389.0,26,5,300,150,49,579,904,2022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Free,7.0
13.0,1.9,7.1,2,30.8,40.2,3,4,111.0,4,7,193,74,28,1109,1804,2011,False,False,False,True,False,False,False,False,True,False,False,False,False,False,Free,7.0
16.0,1.2,4.4,18,21.3,59.0,4,2,216.0,6,9,257,106,30,1913,2179,2016,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Free,2.0
38.0,4.3,8.6,27,23.6,58.4,2,4,266.0,10,5,184,147,41,2778,2970,2010,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Business,4.0
22.0,5.5,8.5,36,19.3,40.6,2,0,391.0,12,12,300,150,48,507,255,2025,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Free,6.0
32.0,4.4,6.8,22,28.5,39.3,3,7,139.0,4,2,126,87,22,700,746,2016,True,False,False,False,False,False,False,False,True,False,False,False,False,False,Free,1.0
26.0,1.2,7.6,2,24.2,47.6,5,5,127.0,4,4,195,89,22,437,343,2021,True,False,False,False,True,False,False,False,True,False,False,False,False,True,Free,2.0
61.0,0.7,8.1,22,15.4,48.0,4,4,153.0,5,3,112,90,31,774,1185,2020,False,False,False,False,True,False,False,True,False,False,False,False,True,False,Premium,
53.0,4.4,7.1,35,22.5,25.2,9,3,234.0,15,8,184,144,27,1081,1613,2024,False,False,False,True,False,False,False,True,False,False,False,False,False,True,Premium,5.0
18.0,4.7,9.3,37,29.4,43.8,5,1,290.0,12,7,300,129,33,1103,730,2011,False,False,False,False,True,False,False,True,False,True,False,False,False,False,Business,10.0
25.0,3.4,7.5,38,15.0,28.3,3,3,428.0,20,6,300,150,54,1320,2782,2011,False,False,False,False,True,False,False,True,False,False,False,False,False,False,Free,1.0
30.0,6.8,6.1,28,20.8,53.5,5,1,201.0,7,9,164,120,24,783,1106,2017,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Free,9.0
,3.7,5.2,27,19.1,55.3,8,2,181.0,5,6,144,81,32,835,406,2017,False,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,4.0
45.0,8.9,8.0,39,22.5,56.1,3,4,341.0,14,8,269,150,40,931,902,2010,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Free,
16.0,6.4,7.1,31,29.4,63.0,3,6,298.0,9,15,300,150,35,1275,2153,2017,False,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,
61.0,4.8,6.8,0,22.1,45.7,4,5,148.0,11,6,150,109,21,1714,2830,2011,False,False,False,True,False,False,False,True,False,False,False,False,True,False,Premium,1.0
63.0,10.1,7.4,5,30.5,38.7,5,6,5.0,1,2,42,29,14,2009,3860,2025,True,False,False,False,True,False,False,False,True,False,False,False,False,False,Premium,8.0
60.0,10.9,8.3,23,32.6,38.6,5,2,158.0,5,2,134,100,21,3212,7127,2012,True,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,
50.0,3.8,6.3,8,27.0,51.9,1,3,5.0,1,3,43,38,11,85,201,2025,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Free,7.0
56.0,13.5,6.9,35,20.0,34.1,1,2,225.0,7,8,171,140,24,1041,1358,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,10.0
29.0,9.1,6.7,23,21.8,45.4,7,1,327.0,16,5,297,150,36,1111,1252,2022,True,False,False,False,True,False,False,True,False,True,False,False,False,False,Premium,2.0
51.0,11.9,7.3,12,28.7,51.2,5,2,123.0,4,2,104,86,20,2621,2559,2022,True,False,False,True,False,False,True,False,False,False,False,False,False,False,Free,4.0
57.0,5.1,6.4,7,21.3,36.4,9,2,22.0,2,3,60,31,14,756,660,2010,True,False,False,True,False,False,False,False,False,True,False,False,False,False,Free,7.0
46.0,3.5,7.6,17,15.2,63.0,4,1,145.0,12,2,131,83,21,1546,1574,2016,True,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,3.0
24.0,10.1,7.8,35,24.0,55.6,4,1,313.0,14,16,300,150,36,669,1386,2012,False,False,False,True,False,True,False,False,False,False,True,False,False,False,Free,5.0
57.0,9.9,8.3,8,22.1,20.8,5,2,39.0,4,6,72,44,21,2711,4444,2025,False,False,True,True,False,False,True,False,False,False,True,False,False,False,Free,8.0
29.0,0.6,6.5,34,25.6,45.9,3,0,432.0,16,9,300,150,51,8362,10000,2017,False,False,False,False,True,False,True,False,False,False,False,False,False,True,Free,3.0
46.0,11.5,7.4,25,18.3,28.7,4,3,176.0,20,1,119,109,29,3609,5841,2016,False,False,False,False,True,False,False,True,False,True,False,False,False,False,Free,
22.0,4.9,6.4,25,28.1,23.9,5,5,245.0,20,14,281,140,35,682,1319,2011,True,False,False,False,True,False,False,False,False,False,False,True,False,False,Free,4.0
35.0,3.4,7.0,12,31.0,48.4,7,5,50.0,2,4,54,46,22,1156,2655,2016,False,False,False,False,True,False,True,False,False,False,False,False,False,True,Free,8.0
20.0,3.8,5.8,12,27.7,35.2,3,4,203.0,8,10,246,108,28,26040,10000,2013,False,False,False,True,False,False,True,False,False,True,False,False,False,False,Free,5.0
44.0,4.0,6.9,14,20.3,35.6,0,3,159.0,5,6,146,82,26,2077,2468,2021,False,False,False,False,True,False,False,True,False,True,False,False,False,False,Free,3.0
15.0,1.9,7.4,9,27.0,36.1,4,2,198.0,13,10,249,109,37,1163,2266,2016,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,4.0
27.0,4.7,8.0,13,27.3,42.1,5,6,205.0,9,8,238,108,28,482,261,2010,True,False,False,True,False,False,True,False,False,True,False,False,False,False,Free,1.0
14.0,2.6,6.3,27,19.9,33.4,1,1,305.0,10,9,300,150,42,1516,2760,2015,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,4.0
37.0,8.1,7.8,3,20.9,17.3,5,0,70.0,2,5,78,55,18,1992,2674,2018,True,False,False,False,True,False,False,False,False,False,False,False,True,False,Free,3.0
30.0,8.9,5.5,4,27.6,56.7,4,3,150.0,8,2,155,83,19,886,991,2025,True,False,False,False,True,False,False,True,False,True,False,False,False,False,Premium,1.0
,4.1,8.1,23,18.5,35.8,3,4,330.0,32,8,300,150,29,271,609,2022,True,False,False,True,False,False,False,False,True,True,False,False,False,False,Free,2.0
33.0,8.7,6.6,23,26.3,44.5,5,3,131.0,14,3,130,76,20,369,458,2022,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Business,10.0
43.0,7.2,6.1,1,27.2,26.9,3,1,5.0,1,1,39,35,4,847,1635,2023,True,False,False,True,False,False,True,False,False,False,False,False,False,False,Free,7.0
13.0,6.3,6.5,7,25.7,50.0,2,4,136.0,4,13,189,78,19,2239,3233,2018,False,False,False,False,True,False,True,False,False,False,False,False,True,False,Free,9.0
53.0,4.5,6.9,37,20.8,45.8,2,4,249.0,7,4,192,133,31,371,884,2012,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Premium,6.0
37.0,6.7,6.1,39,22.7,35.3,4,3,427.0,14,6,300,150,51,542,866,2018,False,False,False,False,True,False,False,False,True,False,False,False,False,False,Free,2.0
48.0,6.3,7.6,14,23.9,29.3,4,2,180.0,19,4,142,82,29,230,451,2011,True,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,1.0
56.0,6.4,6.4,20,29.1,23.6,0,2,181.0,17,4,171,91,37,908,2210,2012,True,False,False,True,False,False,False,False,True,False,True,False,False,False,Free,5.0
46.0,4.5,7.0,34,34.2,36.5,3,3,320.0,15,9,235,150,38,2173,5246,2025,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Free,5.0
53.0,8.0,6.5,22,26.2,28.2,5,4,190.0,6,5,162,104,43,2972,3083,2018,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Free,4.0
51.0,4.3,6.9,20,31.1,49.0,7,2,111.0,7,3,99,87,18,1116,1886,2020,True,False,False,False,True,False,False,True,False,True,False,False,False,False,Business,8.0
,15.3,9.2,5,29.6,37.5,6,3,5.0,1,3,48,32,10,1245,864,2012,True,False,False,False,True,False,True,False,False,False,False,False,False,True,Free,9.0
22.0,14.2,6.0,29,32.5,44.6,6,5,189.0,11,6,229,95,31,5102,9025,2019,True,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,10.0
26.0,1.5,7.0,11,23.9,40.6,7,3,126.0,12,2,193,75,27,1077,2087,2010,True,False,False,True,False,False,True,False,False,False,False,False,False,False,Free,1.0
50.0,5.6,6.9,16,25.0,45.9,6,1,87.0,3,3,85,69,19,290,311,2010,False,False,False,True,False,False,True,False,False,False,False,False,False,True,Free,9.0
40.0,9.7,7.9,30,29.2,34.0,2,4,248.0,14,4,197,126,38,2200,2450,2015,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Free,8.0
20.0,6.4,7.0,30,24.0,40.4,3,3,295.0,13,13,300,141,43,958,1593,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,True,Free,9.0
38.0,1.8,9.7,1,28.2,34.6,4,3,14.0,1,2,46,42,14,391,491,2013,True,False,False,False,True,False,True,False,False,False,False,False,False,True,Business,9.0
26.0,6.2,6.7,10,26.2,50.0,2,5,135.0,4,3,210,92,31,54,41,2021,False,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,6.0
18.0,9.3,6.0,19,22.8,39.1,2,6,215.0,19,12,247,123,25,3086,4089,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Premium,6.0
19.0,11.9,6.1,21,24.0,53.4,5,6,149.0,14,16,193,79,17,731,860,2015,True,False,False,False,True,False,True,False,False,False,False,False,False,True,Free,6.0
18.0,7.6,7.9,4,30.4,44.9,6,2,14.0,1,11,140,48,12,11224,6106,2011,True,False,False,False,True,True,False,False,False,True,False,False,False,False,Premium,5.0
56.0,4.7,7.7,9,23.8,40.5,4,5,85.0,5,3,99,63,19,2373,4833,2014,True,False,False,False,True,False,False,True,False,True,False,False,False,False,Premium,5.0
37.0,6.0,8.3,32,28.9,50.1,4,2,269.0,9,6,200,137,51,948,1152,2013,False,False,False,False,True,False,True,False,False,False,False,False,False,True,Business,
18.0,0.4,8.3,14,23.5,26.3,5,2,184.0,12,7,216,113,31,520,528,2024,True,False,False,False,True,False,False,False,True,True,False,False,False,False,Free,3.0
62.0,12.7,7.1,35,25.8,37.3,4,4,255.0,14,9,202,124,24,622,1203,2022,False,False,False,False,True,True,False,False,False,False,False,False,False,True,Free,10.0
51.0,6.4,5.4,27,23.1,39.6,6,3,111.0,7,3,96,59,25,1965,2885,2024,True,False,False,False,True,False,False,True,False,False,False,False,False,False,Free,10.0
30.0,10.7,6.7,31,26.1,36.3,5,2,346.0,16,4,207,150,52,1266,2473,2015,True,False,False,False,True,False,True,False,False,False,False,True,False,False,Business,5.0
37.0,2.7,6.9,21,17.5,34.8,4,5,225.0,27,13,185,142,28,2700,4560,2016,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Free,1.0
43.0,6.9,7.7,25,21.7,32.2,3,0,154.0,11,2,144,89,21,306,403,2014,False,False,False,True,False,False,False,True,False,True,False,False,False,False,Free,10.0
43.0,4.8,6.4,38,25.1,28.7,3,4,306.0,13,10,208,146,36,1936,1464,2017,True,False,False,False,False,False,True,False,False,False,False,False,False,True,Premium,7.0
43.0,7.4,8.3,19,18.8,38.9,4,2,167.0,6,5,119,104,24,3709,4703,2021,True,False,False,True,False,True,False,False,False,False,False,False,False,False,Free,1.0
51.0,8.0,5.4,2,26.2,47.5,3,2,27.0,1,4,49,50,10,1584,1041,2020,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Free,7.0
65.0,6.8,5.6,18,22.5,47.5,2,4,64.0,4,1,76,51,9,4461,5683,2021,False,False,False,False,True,False,True,False,False,True,False,False,False,False,Free,7.0
52.0,2.7,7.4,18,25.6,36.4,3,3,210.0,6,9,186,111,31,844,2019,2013,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Free,7.0
13.0,0.8,4.7,0,24.8,44.6,3,4,142.0,17,8,206,103,22,1079,2406,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Premium,
47.0,13.5,7.3,3,22.0,54.6,3,2,43.0,4,0,66,42,22,1839,4011,2013,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Free,1.0
43.0,8.8,6.4,37,22.7,32.8,7,0,379.0,13,5,299,150,63,1668,1353,2011,False,False,False,True,False,False,False,False,True,False,False,False,True,False,Premium,2.0
20.0,6.2,7.3,6,27.7,40.7,6,4,30.0,2,8,125,36,14,4377,9716,2012,True,False,False,True,False,False,False,False,False,True,False,False,False,False,Free,
,5.3,7.3,25,29.1,48.5,3,5,267.0,11,7,194,145,46,1110,923,2023,False,False,False,False,True,False,False,True,False,True,False,False,False,False,Free,1.0
60.0,8.4,6.7,32,16.0,48.0,3,3,305.0,18,6,208,150,36,1124,1363,2014,False,False,False,False,False,False,False,False,True,True,False,False,False,False,Free,2.0
27.0,5.7,7.6,38,19.6,36.4,3,5,299.0,25,9,276,138,35,277,154,2020,True,False,False,True,False,False,False,True,False,False,False,False,False,False,Free,8.0
54.0,1.1,6.6,39,20.8,52.3,3,3,321.0,16,7,249,150,58,5080,10000,2011,False,False,False,False,True,True,False,False,False,True,False,False,False,False,Free,5.0
57.0,9.6,7.9,35,22.1,50.6,3,2,280.0,21,5,204,150,36,470,941,2011,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,4.0
26.0,9.2,8.4,13,25.3,29.3,3,3,132.0,5,5,200,70,21,1119,1938,2014,False,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,8.0
36.0,7.0,6.8,24,17.8,34.9,3,2,44.0,2,3,59,39,12,504,402,2012,True,False,False,False,True,False,False,True,False,False,False,False,False,False,Premium,10.0
54.0,6.0,5.3,16,34.3,24.1,4,1,162.0,13,3,128,77,24,297,229,2022,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Free,4.0
41.0,3.0,8.9,4,28.3,36.9,2,1,90.0,7,6,95,67,20,868,1797,2018,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Premium,3.0
24.0,4.4,7.1,17,23.0,26.1,6,4,126.0,4,2,201,89,22,176,244,2022,True,False,False,True,False,False,False,False,True,False,True,False,False,False,Premium,10.0
59.0,15.3,8.0,7,33.9,42.6,9,1,14.0,1,6,62,26,10,567,1211,2013,False,False,False,True,False,False,False,True,False,False,False,False,False,True,Free,9.0
58.0,5.0,8.1,15,27.8,55.6,8,3,27.0,1,7,54,47,13,1330,1074,2022,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Premium,6.0
49.0,6.7,6.7,3,26.9,39.7,2,2,5.0,1,1,37,26,14,552,393,2025,False,False,False,False,True,False,True,False,False,True,False,False,False,False,Free,7.0
13.0,5.4,9.1,37,23.4,33.1,5,4,402.0,14,9,300,150,61,548,1121,2024,False,False,False,False,True,False,False,True,False,False,False,False,False,False,Free,5.0
14.0,12.0,6.5,10,15.5,43.5,4,2,154.0,11,5,216,82,25,387,593,2017,False,False,False,False,False,True,False,False,False,False,False,False,False,True,Free,2.0
49.0,5.9,6.2,1,25.1,41.7,3,2,80.0,3,2,86,64,16,3935,5158,2024,False,False,False,True,False,False,True,False,False,True,False,False,False,False,Premium,4.0
52.0,2.3,8.2,14,29.4,23.1,5,1,39.0,3,2,60,37,11,1544,3624,2023,True,False,False,False,True,False,False,True,False,False,True,False,False,False,Free,
45.0,4.0,7.7,32,22.6,20.7,4,0,184.0,5,3,139,98,32,136,340,2016,True,False,False,False,True,True,False,False,False,False,False,False,False,False,Premium,9.0
13.0,1.7,5.3,12,18.0,33.3,4,5,195.0,7,13,244,112,34,1280,2629,2012,True,False,False,True,False,False,False,False,True,False,False,False,False,False,Free,3.0
39.0,9.4,7.5,0,30.5,52.9,4,4,5.0,1,3,52,37,14,422,191,2014,False,False,False,False,True,False,True,False,False,True,False,False,False,False,Free,9.0
43.0,7.6,6.9,12,18.7,51.3,9,3,209.0,8,2,165,98,37,387,184,2024,False,False,False,False,True,True,False,False,False,False,True,False,False,False,Premium,3.0
